id	ConceptA	ConceptB_Pre	Prerequisite	ca_smog_index	ca_noun_phrases	ca_flesch_reading_ease	ca_number_words	ca_number_sentences	ca_ar_index	core_p_a	cb_smog_index	cb_noun_phrases	cb_flesch_reading_ease	cb_number_words	cb_number_sentences	cb_ar_index	core_p_b	arxiv_common_results_first_1000	core_common_results_first_500	core_p_b_given_a	core_p_a_given_b	core_p_a_and_b	p_ca	p_cb	p_ca_cb	p_ca_given_cb	p_cb_given_ca	page_rank_difference	ca_inlinks	ca_outlinks	cb_inlinks	cb_outlinks	common_neighbors	direct_connections	link_proportion	ngd	pmi	cat_common	ave_tax_simil	max_tax_simil	min_tax_simil
894	Machine_learning	Algorithm	1	15.9	581.0	31.21	3811.0	160.0	17.7	0.014001254	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008985393	0.009	0.198	0.2236773	0.34853929	0.003131763	1.5161e-05	3.7994e-05	1.9e-08	0.000504796	0.001265022	-143.2901	1294	287	3540	422	15	2	0.0966	0.4081	6.99616	0.0	0.24576	0.55556	0.0
895	Artificial_intelligence	Computer_science	1	14.9	1993.0	41.9	12943.0	606.0	15.7	0.00791815	17.5	668.0	22.85	4178.0	178.0	18.8	0.033800703	0.011	0.156	0.726755118	0.170249588	0.005754556	4.8121e-05	8.648e-05	1.9e-08	0.000221779	0.000398565	-185.006	4442	576	8602	416	31	2	0.10783	0.41498	5.87396	0.0	0.35544	0.66667	0.14286
896	Martingale_(probability_theory)	Probability_theory	1	13.3	569.0	-287.44	2705.0	108.0	14.7	0.030254525	13.8	589.0	-229.03	3113.0	152.0	17.3	0.03024553	0.015	0.068	0.999702702	1.0	0.03024553	2.263e-06	1.3301e-05	1e-08	0.000720981	0.004237288	-80.6693	117	119	1201	186	10	1	0.31624	0.32842	10.2666	0.0	0.48571	0.6	0.42857
897	Monte_Carlo_method	Expected_value	1	14.1	1201.0	36.69	6522.0	425.0	14.5	0.033596857	13.2	2167.0	-655.79	8462.0	293.0	21.1	0.041410905	0.005772006	0.018	0.758398082	0.615291827	0.025479792	9.494e-06	8.938e-06	1.9e-08	0.002145923	0.002020202	-43.095	697	293	773	159	8	2	0.05165	0.34803	8.28812	0.0	0.29929	0.5	0.0
898	Inference	Probability	1	11.9	458.0	51.55	2061.0	213.0	11.5	0.002995171	15.0	566.0	-69.0	3488.0	148.0	16.0	0.01279726	0.0075	0.088	0.544741383	0.127495522	0.001631593	4.45e-06	1.59e-05	1e-08	0.000603136	0.002155172	-86.2538	343	121	1381	277	5	1	0.06414	0.43479	7.7634	0.0	0.37254	0.71429	0.2
899	Graphical_model	Probability_theory	1	13.9	195.0	-73.4	883.0	70.0	16.9	0.037959818	13.8	589.0	-229.03	3113.0	152.0	17.3	0.03024553	0.002	0.054	0.568809073	0.713886925	0.021591889	1.774e-06	1.3301e-05	1e-08	0.000720981	0.005405405	-82.05899	95	90	1201	186	3	1	0.05263	0.50733	7.67958	0.0	0.45238	0.5	0.42857
900	Deadlock	Computer_multitasking	1	12.6	191.0	47.89	1501.0	105.0	12.4	0.000183916	16.0	234.0	30.8	1947.0	79.0	16.6	0.013486272	0.0	0.006	0.51951952	0.007084846	9.5548e-05	3.241e-06	4.891e-06	0.0	0.0	0.0	-17.985	220	118	387	123	10	0	0.07727	0.31363	9.86744	0.0	0.48773	0.77778	0.27273
901	Calculus	Mathematics	1	14.8	772.0	-60.24	5688.0	241.0	14.6	0.00129076	16.2	727.0	24.48	5136.0	239.0	16.8	0.005952737	0.003	0.036	0.442864653	0.096028439	0.000571632	1.2716e-05	0.000198152	1.9e-08	9.6791e-05	0.001508296	-848.6943	1004	322	20104	559	42	2	0.34363	0.48127	6.32125	0.0	0.225	0.5	0.0
902	ML_(programming_language)	Programming_language	1	14.8	216.0	42.51	1176.0	55.0	15.0	0.018978721	14.9	684.0	41.8	6037.0	277.0	15.8	0.012102638	0.894	0.22	0.637695144	1.0	0.012102638	3.903e-06	2.805e-05	1e-08	0.00034188	0.002457002	-151.6575	223	184	2530	395	18	1	0.43498	0.32772	9.65162	0.0	0.45822	0.71429	0.14286
903	Relational_database_management_system	Relational_model	1	14.3	149.0	42.82	682.0	28.0	15.1	0.046020635	13.8	774.0	-55.73	5133.0	198.0	16.0	0.03768792	0.011	0.038	0.630630178	0.770061106	0.029022001	5.648e-06	3.318e-06	1.9e-08	0.005780347	0.003395586	8.4428	497	92	191	155	16	2	0.07646	0.2544	10.87093	1.0	0.44602	1.0	0.09091
904	Computational_geometry	Mathematics	1	16.9	265.0	30.09	1602.0	63.0	18.5	0.012492035	16.2	727.0	24.48	5136.0	239.0	16.8	0.005952737	0.0	0.062	0.209143103	0.438894367	0.002612623	4.363e-06	0.000198152	1e-08	4.8396e-05	0.002197802	-928.0256	309	146	20104	559	8	1	0.17152	0.61697	5.31879	0.0	0.19444	0.33333	0.0
905	Data_mining	Algorithm	1	15.0	713.0	32.83	3889.0	177.0	16.7	0.045565791	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008985393	0.009	0.118	0.161547578	0.819223238	0.007361043	1.1268e-05	3.7994e-05	0.0	0.0	0.0	-151.3748	887	288	3540	422	12	0	0.07441	0.46464	6.6196	0.0	0.38662	0.66667	0.0
906	Computer_science	Mathematics	1	17.5	668.0	22.85	4178.0	178.0	18.8	0.033800703	16.2	727.0	24.48	5136.0	239.0	16.8	0.005952737	0.007	0.084	0.112360676	0.638003934	0.00379787	8.648e-05	0.000198152	1.9e-08	9.6791e-05	0.000221779	-611.598	8602	416	20104	559	30	2	0.15764	0.42809	5.19702	0.0	0.22604	0.5	0.0
907	Cryptographic_hash_function	Cryptography	1	14.0	571.0	49.75	3527.0	167.0	14.9	0.034357344	15.9	1027.0	32.53	6856.0	279.0	16.8	0.000231493	0.052	0.064	0.005732879	0.850852079	0.000196967	5.514e-06	2.4051e-05	1e-08	0.000398724	0.00173913	-103.2361	414	161	2084	424	29	1	0.26812	0.31422	9.23332	1.0	0.26819	1.0	0.0
908	Model_of_computation	Computational_complexity_theory	1	16.1	78.0	24.48	404.0	20.0	17.6	0.074928807	14.3	839.0	7.45	5500.0	227.0	14.6	0.030948208	0.055	0.118	0.412719154	0.999235682	0.030924554	1.275e-06	9.734e-06	1.9e-08	0.001970443	0.015037594	-47.72131	79	54	788	227	8	2	0.29114	0.3216	10.75526	0.0	0.51429	0.6	0.42857
909	Theoretical_computer_science	Discrete_mathematics	1	18.8	635.0	13.17	3435.0	136.0	20.3	0.039938051	15.8	535.0	9.79	2748.0	164.0	17.2	0.01241861	0.011	0.068	0.234289961	0.75347276	0.009357084	7.365e-06	5.84e-06	1.9e-08	0.003284072	0.002604167	7.7311	421	347	295	314	37	2	0.02613	0.37686	8.69472	0.0	0.35	0.5	0.2
910	Amortized_analysis	Data_structure	1	14.2	123.0	-10.8	923.0	41.0	14.8	0.044641128	14.2	197.0	41.7	1091.0	49.0	15.6	0.053728799	0.05	0.082	0.869448359	0.722390144	0.038813155	1.343e-06	7.269e-06	1e-08	0.001319261	0.007142857	-58.00534	91	49	599	159	3	1	0.31868	0.27914	11.28131	0.0	0.54167	0.75	0.33333
911	Finite_element_method	Numerical_analysis	1	14.8	1177.0	-309.33	6149.0	215.0	19.4	0.039757725	14.5	558.0	-183.08	3035.0	159.0	15.9	0.046700479	0.0575	0.09	0.795344025	0.677103746	0.031621069	8.87e-06	1.1834e-05	1.9e-08	0.001620746	0.002162162	-31.6953	692	233	979	255	16	2	0.12572	0.27448	9.23068	0.0	0.35857	0.6	0.25
912	Semidefinite_programming	Linear_programming	1	13.5	747.0	-960.55	3185.0	86.0	20.8	0.004135634	14.1	1159.0	-210.38	6162.0	318.0	16.1	0.022855697	0.089	0.212	0.996882631	0.180381354	0.004122742	1.371e-06	7.173e-06	1.9e-08	0.002673797	0.013986014	-22.66798	55	88	477	271	21	2	0.32727	0.28871	11.64825	3.0	0.40053	1.0	0.11111
913	Mathematical_optimization	Mathematics	1	15.1	1130.0	-14.18	5383.0	354.0	16.5	0.013301362	16.2	727.0	24.48	5136.0	239.0	16.8	0.005952737	0.014	0.078	0.2652769	0.592759893	0.003528544	1.216e-05	0.000198152	1.9e-08	9.6791e-05	0.001577287	-888.7751	940	328	20104	559	24	2	0.14362	0.58777	5.06264	0.0	0.11607	0.5	0.0
914	Cryptography	Probability_theory	1	15.9	1027.0	32.53	6856.0	279.0	16.8	0.000231493	13.8	589.0	-229.03	3113.0	152.0	17.3	0.03024553	0.001	0.032	0.783742331	0.005998607	0.000181431	2.4051e-05	1.3301e-05	0.0	0.0	0.0	43.9541	2084	424	1201	186	7	0	0.01056	0.55047	5.3618	0.0	0.23214	0.5	0.0
915	Debugging	Computer_programming	1	14.0	338.0	51.07	2304.0	104.0	14.2	0.000252773	15.8	357.0	33.65	2294.0	104.0	16.5	0.014924852	0.023	0.018	0.913318975	0.015468297	0.000230862	5.015e-06	1.6082e-05	1e-08	0.000596303	0.001912046	-64.6933	396	127	1410	267	18	1	0.08333	0.40043	8.11109	0.0	0.48214	0.66667	0.33333
916	Software_testing	Control_flow	1	15.0	1086.0	40.28	8716.0	383.0	16.3	0.022044942	13.7	737.0	40.69	5097.0	208.0	15.3	0.036331475	0.0	0.084	0.703943912	0.427133841	0.015518402	9.369e-06	5.687e-06	1e-08	0.001686341	0.001023541	2.8111	712	265	392	201	9	1	0.01826	0.42645	7.76753	0.0	0.33333	0.33333	0.33333
917	Dynamic_programming	Algorithm_design	1	14.2	1377.0	-250.62	8664.0	291.0	16.8	0.015580394	16.7	64.0	32.43	261.0	10.0	17.7	0.02539525	0.006	0.17	0.612163594	0.375572211	0.00953775	4.709e-06	6.23e-07	1e-08	0.015384615	0.00203666	13.44337	280	211	19	46	12	1	0.00714	0.39807	10.78032	1.0	0.41094	1.0	0.14286
918	Recommender_system	Machine_learning	1	15.1	778.0	34.97	4971.0	254.0	15.8	0.038418907	15.9	581.0	31.21	3811.0	160.0	17.7	0.014001254	0.01	0.06	0.25381148	0.696449019	0.00975116	3.711e-06	1.5161e-05	1.9e-08	0.001265022	0.005167959	-48.3273	260	127	1294	287	11	2	0.1	0.39881	8.49798	0.0	0.25529	0.5	0.0
919	User_interface	Computer_programming	1	15.5	533.0	41.19	3341.0	149.0	15.9	0.01147464	15.8	357.0	33.65	2294.0	104.0	16.5	0.014924852	0.01	0.166	0.487884053	0.375098791	0.005598294	1.7348e-05	1.6082e-05	0.0	0.0	0.0	-2.4329	1583	226	1410	267	11	0	0.02527	0.4537	6.38953	0.0	0.2996	0.55556	0.0
920	Exponential_family	Probability_theory	1	15.8	1936.0	-856.76	9560.0	273.0	23.7	0.020114285	13.8	589.0	-229.03	3113.0	152.0	17.3	0.03024553	0.003	0.054	0.590009854	0.3923762	0.011867626	2.532e-06	1.3301e-05	1.9e-08	0.001441961	0.007575758	-79.59588	111	153	1201	186	27	2	0.18018	0.38456	9.45502	0.0	0.425	0.5	0.2
921	Dynamic_programming	Mathematics	1	14.2	1377.0	-250.62	8664.0	291.0	16.8	0.015580394	16.2	727.0	24.48	5136.0	239.0	16.8	0.005952737	0.0	0.046	0.114187703	0.298869131	0.001779089	4.709e-06	0.000198152	1e-08	4.8396e-05	0.00203666	-930.2846	280	211	20104	559	7	1	0.11429	0.66261	4.73305	0.0	0.20519	0.5	0.0
922	Run_time_(program_lifecycle_phase)	Computer_science	1	15.8	42.0	27.05	326.0	12.0	19.1	0.052512158	17.5	668.0	22.85	4178.0	178.0	18.8	0.033800845	0.001	0.0	0.544689179	0.84621565	0.028602804	3.021e-06	8.648e-05	1e-08	0.000110889	0.003174603	-309.4893	252	63	8602	416	1	1	0.10317	0.59026	5.81023	0.0	0.39444	0.66667	0.14286
923	Undecidable_problem	Computer_science	1	14.5	199.0	48.03	1624.0	68.0	14.8	0.02724505	17.5	668.0	22.85	4178.0	178.0	18.8	0.033800972	0.011	0.068	0.595239874	0.47978917	0.01621734	2.503e-06	8.648e-05	1e-08	0.000110889	0.003831418	-319.5117	160	101	8602	416	8	1	0.25625	0.51989	7.1227	0.0	0.295	0.4	0.0
924	Abstract_data_type	Computer_science	1	15.3	451.0	44.27	3866.0	133.0	16.7	0.060596882	17.5	668.0	22.85	4178.0	178.0	18.8	0.033800995	0.005	0.052	0.502395253	0.900671286	0.030443586	2.503e-06	8.648e-05	1e-08	0.000110889	0.003831418	-321.4565	119	142	8602	416	12	1	0.40336	0.49044	7.77722	0.0	0.34828	0.5	0.11111
925	Expert_system	Artificial_intelligence	1	14.1	440.0	32.63	2925.0	137.0	14.9	0.039818549	14.9	1993.0	41.9	12943.0	606.0	15.7	0.007918378	0.01	0.086	0.152233629	0.765525701	0.006061722	3.951e-06	4.8121e-05	1.9e-08	0.000398565	0.004854369	-135.2918	290	122	4442	576	14	2	0.36552	0.38555	8.58855	1.0	0.35485	1.0	0.0
926	Cryptanalysis	Algorithm	1	15.2	746.0	40.99	3967.0	181.0	17.2	3.0882e-05	15.0	1345.0	41.4	9595.0	447.0	15.0	0.00898567	0.003	0.008	0.791517629	0.002720252	2.4443e-05	9.005e-06	3.7994e-05	1e-08	0.000252398	0.001064963	-167.5103	671	268	3540	422	12	1	0.06557	0.4958	6.43726	0.0	0.23709	0.5	0.0
927	Time_complexity	Algorithm	1	14.9	664.0	-79.39	4277.0	157.0	16.0	0.04446544	15.0	1345.0	41.4	9595.0	447.0	15.0	0.00898567	0.013	0.258	0.172657304	0.854391873	0.007677283	8.861e-06	3.7994e-05	1.9e-08	0.000504796	0.002164502	-155.0578	762	162	3540	422	30	2	0.23491	0.34216	8.27817	0.0	0.41396	0.75	0.23077
928	Network_security	Security	1	14.1	170.0	36.39	828.0	47.0	15.7	0.016418259	16.7	155.0	23.87	1334.0	62.0	16.7	0.006303993	0.312	0.414	0.383962335	1.0	0.006303993	3.98e-06	1.2447e-05	1e-08	0.000770416	0.002409639	-36.4897	308	107	1163	135	4	1	0.02922	0.50492	6.87703	0.0	0.44444	0.5	0.33333
929	Relational_database	Database	1	14.0	325.0	44.24	2402.0	129.0	13.0	0.009919438	14.9	1241.0	33.04	7878.0	345.0	16.0	0.008835396	0.323	0.59	0.890715416	1.0	0.008835396	6.176e-06	4.0919e-05	2.9e-08	0.00070307	0.004658385	-148.2346	520	124	3843	424	17	3	0.33077	0.3412	8.65341	1.0	0.45714	1.0	0.11111
930	Artificial_intelligence	Computer	1	14.9	1993.0	41.9	12943.0	606.0	15.7	0.007918378	15.0	1086.0	41.7	8043.0	367.0	15.0	0.013454278	0.007	0.162	0.414071826	0.24369776	0.003278777	4.8121e-05	6.193e-05	1.9e-08	0.000309693	0.000398565	-136.286	4442	576	5688	770	20	2	0.03534	0.51582	4.86145	0.0	0.12996	0.42857	0.0
931	Relational_model	Object_(computer_science)	1	13.8	774.0	-55.73	5133.0	198.0	16.0	0.037688582	14.3	166.0	42.61	1330.0	68.0	15.2	0.036333329	0.003	0.0	0.633667941	0.657304105	0.023882046	3.318e-06	4.996e-06	1e-08	0.001919386	0.002890173	-19.6674	191	155	404	117	6	1	0.05236	0.366	9.24382	0.0	0.37307	0.71429	0.09091
932	Virtual_reality	Computer_graphics	1	14.2	880.0	37.4	4087.0	260.0	14.2	0.009304111	15.0	1178.0	40.08	7547.0	332.0	15.9	0.013944004	0.0	0.106	0.388230406	0.259046023	0.003612139	1.6696e-05	1.7472e-05	1e-08	0.000548847	0.000574383	-32.1032	1371	370	1382	440	24	1	0.03209	0.42373	6.76341	0.0	0.31232	0.55556	0.0
933	Parallel_computing	Time_complexity	1	16.1	1031.0	16.83	6451.0	307.0	16.5	0.017575023	14.9	664.0	-79.39	4277.0	157.0	16.0	0.04446544	0.005	0.138	0.821335578	0.32463396	0.014434992	1.169e-05	8.861e-06	1e-08	0.001082251	0.000820345	-1.1249	861	358	762	162	7	1	0.02439	0.42575	7.22633	0.0	0.45455	0.45455	0.45455
934	File_system	Operating_system	1	13.1	1402.0	50.67	8628.0	399.0	13.4	0.039861242	14.7	1271.0	40.58	8814.0	374.0	15.2	0.040097509	0.024	0.714	0.96728237	0.961582849	0.038557077	1.2956e-05	5.283e-05	1.9e-08	0.000363042	0.001480385	-254.3382	1030	321	5021	488	54	2	0.33786	0.31696	8.29829	0.0	0.5	0.5	0.5
935	Motion_planning	Robotics	1	14.4	413.0	35.07	2421.0	117.0	15.5	0.014989913	13.7	1075.0	43.32	7661.0	393.0	14.2	0.000617086	0.073	0.056	0.027901574	0.677769112	0.000418242	2.129e-06	1.8767e-05	1.9e-08	0.001021972	0.009009009	-53.104	117	105	1599	358	5	2	0.22222	0.38873	9.34465	0.0	0.42857	0.42857	0.42857
936	CPU_cache	Performance_tuning	1	14.0	1461.0	47.83	10133.0	431.0	13.9	0.001614283	14.9	150.0	30.57	1042.0	64.0	14.8	0.020171164	0.01625	0.1	0.66451285	0.05318045	0.001072712	8.957e-06	9.01e-07	1e-08	0.010638298	0.001070664	50.04104	750	184	35	59	1	1	0.00133	0.56088	7.4775	0.0	0.50397	0.66667	0.33333
937	Numerical_analysis	Floating_point	1	14.5	558.0	-183.08	3035.0	159.0	15.9	0.046701197	14.0	1601.0	-65.65	11686.0	498.0	14.9	0.035261454	0.005	0.076	0.596251575	0.789691259	0.027845662	1.1834e-05	9.647e-06	1.9e-08	0.001988072	0.001620746	-1.9566	979	255	766	240	20	2	0.04801	0.34832	8.19575	0.0	0.16667	0.33333	0.0
938	Software_testing	Programming_language	1	15.0	1086.0	40.28	8716.0	383.0	16.3	0.022045384	14.9	684.0	41.8	6037.0	277.0	15.8	0.012102859	0.011	0.118	0.266852392	0.486072186	0.005882863	9.369e-06	2.805e-05	0.0	0.0	0.0	-130.1454	712	265	2530	395	19	0	0.04213	0.50451	6.28377	0.0	0.35714	0.5	0.25
939	Sufficient_statistic	Random_variable	1	14.2	1499.0	-1329.2	6234.0	158.0	24.6	0.01750694	13.6	903.0	-385.37	5092.0	184.0	19.2	0.026982083	0.0	0.102	0.577082219	0.374431578	0.010102944	1.784e-06	8.899e-06	0.0	0.0	0.0	-64.85811	105	81	757	171	12	0	0.2381	0.3186	10.52299	1.0	0.46693	1.0	0.25
940	Database_normalization	Database	1	15.8	203.0	36.63	1227.0	49.0	17.7	0.011666297	14.9	1241.0	33.04	7878.0	345.0	16.0	0.008835396	0.646	0.432	0.757343702	1.0	0.008835396	2.215e-06	4.0919e-05	1.9e-08	0.000468713	0.008658009	-171.71772	128	103	3843	424	13	2	0.26562	0.44998	8.33698	0.0	0.6254	0.71429	0.42857
941	Automatic_programming	Computer_science	1	15.8	242.0	9.99	1137.0	57.0	17.0	0.007978516	17.5	668.0	22.85	4178.0	178.0	18.8	0.033801287	0.005	0.172	0.759305628	0.179227858	0.006058132	2.263e-06	8.648e-05	1e-08	0.000110889	0.004237288	-328.61176	111	125	8602	416	5	1	0.08108	0.64444	5.46258	0.0	0.22024	0.66667	0.0
942	Hidden_Markov_model	Markov_chain	1	14.8	795.0	-38.31	5498.0	214.0	17.3	0.038483723	13.5	2305.0	-443.78	12250.0	424.0	17.3	0.010216742	0.068	0.296	0.206055416	0.776155423	0.00792978	3.893e-06	6.147e-06	1.9e-08	0.003120125	0.004926108	-11.1171	231	175	397	244	16	2	0.12554	0.26388	10.53077	1.0	0.4272	1.0	0.2
943	Spanning_tree	Graph_theory	1	13.9	248.0	18.59	2314.0	78.0	15.4	0.007259199	14.5	608.0	41.29	3743.0	172.0	15.3	0.02733199	0.012	0.134	0.569675713	0.151302163	0.004135389	2.445e-06	1.5305e-05	1.9e-08	0.001253133	0.007843137	-63.61923	142	113	1263	333	16	2	0.35915	0.30852	10.37757	0.0	0.2547	0.6	0.09091
944	Compiler	Computer_programming	1	15.1	993.0	35.27	5714.0	292.0	15.1	0.000424531	15.8	357.0	33.65	2294.0	104.0	16.5	0.014925104	0.036	0.052	0.820038657	0.023325226	0.000348131	1.9199e-05	1.6082e-05	1e-08	0.000596303	0.0004995	15.3379	1710	292	1410	267	23	1	0.06842	0.33083	7.82664	0.0	0.37905	0.66667	0.14286
945	Stack_(abstract_data_type)	Array_data_structure	1	13.4	380.0	49.65	3447.0	138.0	13.1	0.060657682	14.3	349.0	24.07	2934.0	130.0	13.8	0.054112617	0.013	0.004	0.848628975	0.951272906	0.051475867	4.239e-06	5.409e-06	1.9e-08	0.003546099	0.004524887	-6.3442	280	162	403	161	14	2	0.08214	0.29448	9.89717	0.0	0.50417	0.75	0.33333
946	Assembly_language	Computer	1	15.9	904.0	40.79	5855.0	257.0	16.5	0.013510463	15.0	1086.0	41.7	8043.0	367.0	15.0	0.013454278	0.007	0.156	0.348162289	0.349616209	0.004703834	1.6408e-05	6.193e-05	1.9e-08	0.000309693	0.001168907	-206.2761	1385	326	5688	770	57	2	0.08881	0.47187	6.19067	0.0	0.25101	0.5	0.0
947	Memory_hierarchy	Computer_architecture	1	14.4	171.0	44.14	950.0	50.0	13.3	0.008551419	14.9	453.0	35.78	2621.0	140.0	14.9	0.016181653	0.0125	0.154	0.497347824	0.262830337	0.004253029	1.295e-06	6.262e-06	1e-08	0.001531394	0.007407407	-33.21367	60	75	488	165	7	1	0.16667	0.34514	10.64183	0.0	0.35159	0.66667	0.11111
948	Parsing	Formal_grammar	1	13.4	424.0	50.26	3129.0	146.0	14.0	0.000397365	14.0	454.0	-220.03	2671.0	86.0	19.9	0.012152259	0.223	0.04	0.525703393	0.017189908	0.000208896	6.588e-06	3.385e-06	1.9e-08	0.005665722	0.002911208	19.7178	514	173	218	135	18	2	0.09144	0.23983	10.93831	0.0	0.4465	0.66667	0.25
949	Routing	Computer_network	1	14.1	342.0	48.33	2651.0	115.0	15.4	0.000835719	14.2	1314.0	43.63	7742.0	383.0	15.0	0.021429686	0.015	0.084	0.870903787	0.033963673	0.000727831	5.198e-06	2.852e-05	1.9e-08	0.000672495	0.003690037	-142.8471	371	171	2537	437	30	2	0.18868	0.38023	8.44263	0.0	0.3341	0.42857	0.23077
950	Cryptography	Information_security	1	15.9	1027.0	32.53	6856.0	279.0	16.8	0.000231501	16.5	1357.0	24.88	9110.0	418.0	17.4	0.038351715	0.091	0.084	0.933062949	0.005632216	0.000216005	2.4051e-05	9.484e-06	1.9e-08	0.002022245	0.000797448	97.7445	2084	424	676	313	31	2	0.02447	0.4196	7.40394	1.0	0.2379	1.0	0.0
951	Cryptographic_hash_function	Encryption	1	14.0	571.0	49.75	3527.0	167.0	14.9	0.034358007	15.9	129.0	32.22	881.0	40.0	17.0	0.000285051	0.053	0.064	0.006714256	0.809289194	0.000230688	5.514e-06	1.3004e-05	0.0	0.0	0.0	-58.6226	414	161	1249	107	6	0	0.1087	0.35611	8.66934	1.0	0.56964	1.0	0.25
952	Visualization_(computer_graphics)	Mathematics	1	15.3	320.0	20.99	1494.0	97.0	17.0	0.015307423	16.2	727.0	24.48	5136.0	239.0	16.8	0.005952824	0.002	0.0	0.152465931	0.392059379	0.002333861	3.471e-06	0.000198152	0.0	0.0	0.0	-937.32035	216	146	20104	559	7	0	0.04167	0.77245	3.27737	0.0	0.25762	0.42857	0.0
953	Database	Computer_science	1	14.9	1241.0	33.04	7878.0	345.0	16.0	0.008835396	17.5	668.0	22.85	4178.0	178.0	18.8	0.033801295	0.004	0.144	0.660329928	0.17260512	0.005834277	4.0919e-05	8.648e-05	0.0	0.0	0.0	-152.949	3843	424	8602	416	16	0	0.05178	0.53016	4.81568	0.0	0.35813	0.5	0.11111
954	Rendering_(computer_graphics)	Mathematics	1	15.8	458.0	-31.67	3707.0	138.0	17.9	0.015154373	16.2	727.0	24.48	5136.0	239.0	16.8	0.005952824	0.0	0.0	0.155039749	0.394691673	0.00234953	7.49e-06	0.000198152	1e-08	4.8396e-05	0.00128041	-914.566	583	198	20104	559	6	1	0.01372	0.87086	1.67498	0.0	0.0	0.0	0.0
955	Robotics	Software_engineering	1	13.7	1075.0	43.32	7661.0	393.0	14.2	0.000617086	16.5	496.0	25.08	2767.0	132.0	18.2	0.020688213	0.008	0.03	0.760826482	0.022693876	0.000469496	1.8767e-05	1.3924e-05	0.0	0.0	0.0	-6.931	1599	358	1260	192	4	0	0.02564	0.44571	6.57292	0.0	0.26667	0.33333	0.2
956	C_(programming_language)	Programming_language	1	14.5	1031.0	41.09	7112.0	314.0	15.3	0.048279864	14.9	684.0	41.8	6037.0	277.0	15.8	0.012102867	0.716	0.206	0.250681472	1.0	0.012102867	6.7646e-05	2.805e-05	1.9e-08	0.000683761	0.000283527	46.926	6547	507	2530	395	54	2	0.10432	0.30047	7.59173	0.0	0.34842	0.71429	0.0
957	Machine_learning	Algorithm_design	1	15.9	581.0	31.21	3811.0	160.0	17.7	0.014001585	16.7	64.0	32.43	261.0	10.0	17.7	0.025395787	0.0	0.202	0.622908113	0.343431026	0.008721701	1.5161e-05	6.23e-07	0.0	0.0	0.0	57.16587	1294	287	19	46	0	0	0.00232	0.48871	9.15694	0.0	0.20926	0.55556	0.0
958	Lexical_semantics	Semantics	1	15.3	532.0	40.69	3701.0	165.0	15.9	0.001688993	15.7	344.0	40.28	2687.0	119.0	16.3	0.001102339	0.536	0.486	0.652660148	1.0	0.001102339	2.043e-06	1.4845e-05	1e-08	0.000645995	0.004694836	-131.15202	74	139	1248	300	18	1	0.25676	0.37857	9.9106	1.0	0.45524	1.0	0.14286
959	System_programming	Computer	1	15.9	97.0	31.01	605.0	26.0	18.4	0.039184799	15.0	1086.0	41.7	8043.0	367.0	15.0	0.013454286	0.005	0.124	0.268257083	0.78128262	0.0105116	1.314e-06	6.193e-05	1e-08	0.000154847	0.00729927	-278.83579	59	78	5688	770	18	1	0.05085	0.66905	5.38615	0.0	0.31429	0.6	0.0
960	C++	Computer_programming	1	12.1	878.0	64.34	5771.0	234.0	13.7	0.043601728	15.8	357.0	33.65	2294.0	104.0	16.5	0.014925112	0.026	0.06	0.235721708	0.688629573	0.010277874	6.1355e-05	1.6082e-05	1e-08	0.000596303	0.000156299	82.2169	6037	361	1410	267	24	1	0.02717	0.44477	6.49399	0.0	0.28194	0.5	0.0
961	Statistical_hypothesis_testing	Statistical_inference	1	14.6	1048.0	11.41	8252.0	455.0	13.9	0.030167538	15.7	677.0	21.5	3336.0	267.0	16.7	0.020908952	0.032	0.342	0.675699129	0.974901983	0.020384179	6.521e-06	4.315e-06	1.9e-08	0.004444444	0.002941176	17.1359	474	206	263	187	32	2	0.08861	0.24765	10.62219	3.0	0.51621	1.0	0.14286
962	Parallel_computing	Computer_science	1	16.1	1031.0	16.83	6451.0	307.0	16.5	0.017575031	17.5	668.0	22.85	4178.0	178.0	18.8	0.033801295	0.027	0.134	0.691896884	0.359752767	0.012160109	1.169e-05	8.648e-05	0.0	0.0	0.0	-287.8567	861	358	8602	416	21	0	0.14402	0.49294	6.2914	0.0	0.26984	0.42857	0.11111
963	Computational_complexity_theory	Discrete_mathematics	1	14.3	839.0	7.45	5500.0	227.0	14.6	0.030948808	15.8	535.0	9.79	2748.0	164.0	17.2	0.012418823	0.001	0.072	0.311644158	0.776644847	0.009645015	9.734e-06	5.84e-06	0.0	0.0	0.0	36.247	788	227	295	314	21	0	0.01777	0.41674	8.13826	0.0	0.14286	0.14286	0.14286
964	Inheritance_(object-oriented_programming)	Object-oriented_programming	1	15.5	322.0	33.85	2604.0	126.0	15.8	0.015038011	14.4	904.0	42.61	5461.0	300.0	16.0	0.014355129	0.837	0.116	0.954589646	1.0	0.014355129	4.344e-06	1.9045e-05	1.9e-08	0.001007049	0.004415011	-61.4221	328	125	1644	342	42	2	0.48476	0.24421	10.42987	1.0	0.70635	1.0	0.55556
